Annual accounts for 2017	Comptes anuals 2017
Statement of changes in net equity (amounts in euros)	Estat de canvis en el patrimoni net (imports en euros)
1. Total statement of changes in net equity	1. Estat total de canvis en el patrimoni net
2. Statement of recognised income and expenditure	2. Estat d'ingressos i despeses reconeguts
Cash-flow statement (amounts in euros)	Estat de fluxos d'efectiu (imports en euros)
Budget implementation statement (amounts in euros)	Estat de liquidació del pressupost (imports en euros)
1. Expenditure budget implementation	1. Liquidació del pressupost de despeses
2. Income budget settlement	2. Liquidació del pressupost d'ingressos
Budget implementation statement (amounts in euros)	Estat de liquidació del pressupost (imports en euros)
3. Budgetary results for 2017	3. Resultat pressupostari
ANNUAL REPORT FOR THE 2017 FINANCIAL YEAR	MEMÒRIA DE L'EXERCICI 2017 1. Organització i activitat
1. Organisation and activity	1.1. Població oficial i dades de caràcter socioeconòmic
	Barcelona, amb una superfície de 101,35 km2, és la capital de Catalunya i la segona ciutat de l'Estat espanyol per població. La població oficial de la ciutat de Barcelona a 1 de gener de 2017 és de 1.620.809 habitants, segons dades publicades per
	l'Institut Nacional d'Estadística, un 0,7% més que l'any anterior. A Barcelona hi
1.1. Official population and socio-economic data	conviuen persones de 166 nacionalitats, sent la població estrangera recollida al
Barcelona, which covers an area of 101.35 km2, is the capital of Catalonia and the second largest city in Spain in population terms. The official number of city residents on 1 January 2017 was 1,620,809, according to data published by the National Institute of Statistics, representing an increase of 0.7% on the previous year. There are 166 nationalities in that total and the number of registered foreign residents on 1 January 2017 came to 288,675. Barcelona is part of the Barcelona Metropolitan Area, Barcelonés County Council and Barcelona Provincial Council.	padró a 1 de gener de 2017 de 288.675 persones. La ciutat de Barcelona forma part de l'Àrea Metropolitana de Barcelona, del Consell Comarcal del Barcelonès i de la Diputació de Barcelona.
The city's economy is essentially tertiary. According to the latest data published on Barcelona's GNP, that sector represents 89.6% of the gross added value (15 percentage points above the Catalan figures), to the detriment of industry (7.4%), construction (2.9%) and the primary sector (0.1%). As regards the sectoral distribution of actively employed people registered with Social Security, on 31 December 2017 the percentage of workers employed in each sector was 90% in social services; 6.9% in industry; 3% in construction and the remaining 0.1% in agriculture, livestock and fisheries.	L'economia de la ciutat és fonamentalment terciària. El pes d'aquest sector, d'acord amb les darreres dades publicades del PIB de Barcelona, representa el 89,6% del valor afegit brut (15 punts percentuals per sobre dels valors catalans), en detriment de la indústria (7,4%), la construcció (2,9%) i el sector primari (0,1%). Pel que fa a la distribució sectorial dels ocupats afiliats a la Seguretat Social, a 31 de desembre de 2017 el sector serveis ocupava el 90% dels treballadors, la indústria el 6,9%, la construcció el 3,0% i l'agricultura, ramaderia i pesca el 0,1% restant.
The following table shows the main economic activity indicators for Barcelona and its metropolitan area for 2017.	La taula següent mostra els principals indicadors de l'activitat econòmica de
1.2. Description of the main sources of revenue	Barcelona i el seu àmbit metropolità referents a l'any 2017.
The main sources of revenue for both Barcelona City Council and the other local	1.2. Descripció de les principals fonts d'ingressos
authorities are regulated by Spanish Royal Legislative Decree 2/2004 of 5 March, approving the consolidated text of the Regulatory Act on Local Tax Offices (Royal Legislative Decree 2/2004 (LHRL). The details of Barcelona City Council's main	Les principals fonts d'ingressos, tant de l'Ajuntament de Barcelona com de la resta de municipis, es troben regulades pel Reial Decret Legislatiu 2/2004, de 5 de març, pel que s'aprova el text refós de la Llei reguladora de les Hisendes Locals (Reial
day-to-day management income for 2017 were as follows:	Decret Legislatiu 2/2004 LRHL). Per l'any 2017, el detall del principals ingressos de gestió ordinària de l'Ajuntament de Barcelona ha estat el següent:
1.3. City Council's Tax Treatment	1.3. Consideració fiscal de l'Ajuntament
a) Corporation Tax	a) Impost de Societats
Barcelona City is exempt from corporation tax and its capital furniture gains are not subject to deduction, under Act 27/2014, of 27 November, on Corporation Tax	En aplicació de la Llei 27/2014, de 27 de novembre, de l'Impost sobre Societats, l'Ajuntament de Barcelona està exempt de l'impost i els rendiments del seu capital mobiliari no estan subjectes a retenció.
b) Value Added Tax (VAT)	b) Impost sobre el Valor Afegit (IVA)
For the purposes of VAT, the City Council carries out transactions that are either subject to this tax (business activities) or not (public activities). As regards the VAT deduction system, it has opted for the special pro rata basis.	L'Ajuntament realitza a efectes de l'IVA operacions que no es troben subjectes (activitats Públiques ) i operacions subjectes (activitats empresarials). Pel que fa al règim de deduccions de les quotes d'IVA suportades ha optat per la modalitat de prorrata especial.
1.4. Basic organisational, political and administrative structure	1.4. Estructura organitzativa bàsica, en els seus nivells polític i
Barcelona City Council's basic organisational, political and administrative structure is as follows:	administratiu L'estructura organitzativa bàsica de l'Ajuntament de Barcelona, en els seus nivells polític i administratiu és la següent:
1.4.1. Political organisation	1.4.1. Organització política
Municipal elections are held every four years, under a proportional representation system. As a result of the last elections, held on 24 May 2015, the current composition of the Municipal Council is as follows:	Les eleccions municipals se celebren cada quatre anys, d'acord amb un sistema de representació proporcional. Com a resultat de les últimes eleccions, celebrades el 24 de maig de 2015, la composició actual del Consell Municipal és la següent:
On 31 December 2017, the 11 Barcelona en Comú councillors formed the municipal government. The agreement with the Partit dels Socialistes de Catalunya -Candidatura de Progrés, which was signed in May 2017 and led to four Partit dels Socialistes de Catalunya - Candidatura de Progrés councillors joining the municipal government, was terminated in November 2017.	El govern municipal el composen, a 31 de desembre de 2017, els 11 regidors de Barcelona en Comú. L'acord de govern amb el Partit dels Socialistes de Catalunya - Candidatura de Progrés, signat el maig del 2016 i que va suposar a incorporació al govern municipal dels 4 regidors del Partit dels Socialistes de Catalunya -Candidatura de Progrés és va trencar el novembre de 2017.
The political area is made up of the various government, city and territorial bodies. The political structure is as follows:	L'àmbit polític el constitueixen els diferents òrgans de govern, de ciutat i territorials. L'estructura política és la següent:
1.4.2. Administrative organisation	1.4.2. Organització administrativa
	L'organització administrativa o executiva de l'Ajuntament de Barcelona, dirigida
Barcelona City Council's administrative or executive organisation, which is run and coordinated by the municipal manager, is made up, on the one hand, of sectors and districts, which are divisions and bodies integrated into the City Council's single legal personality, run by managers appointed by the Mayor. On the other hand, we have local independent bodies, public business entities and trading companies, which have their own separate legal personalities but are functionally dependent on their sectors of activity.	i coordinada pel gerent municipal, la componen, d'una banda els sectors i districtes, que són divisions i òrgans integrats en la personalitat jurídica única de l'Ajuntament, dirigits per gerents nomenats per l'alcalde; i de l'altra organismes autònoms locals, entitats públiques empresarials i societats mercantils, que són òrgans dotats de personalitat jurídica diferenciada, però amb dependència funcional del seu sector d'activitat.
This managerial structure is tasked not just with ensuring the services provided by Barcelona City Council are effective and efficient and meet the city's values and needs, but also with seeing to the planning, organisation and provision of public services, to make sure the goals set out under the Municipal Action Plan are achieved.	Aquesta estructura gerencial s'encarrega que els serveis prestats per l'Ajuntament de Barcelona als ciutadans siguin eficaços i eficients, i responguin als valors i a les necessitats de la ciutat, alhora que es fa càrrec de la planificació, organització i prestació dels serveis públics, per garantir l'acompliment dels objectius que expressa el pla d'actuació municipal.
The following organisation chart shows Barcelona City Council's administrative structure:	El següent organigrama mostra l'estructura administrativa de l'Ajuntament de Barcelona:
1.5. Average number of employees during the financial year and on 31 December, both civil servants and externally contracted staff, according to category and sex	1.5. Nombre mig d'empleats durant l'exercici i a 31 de desembre, tant funcionaris com personal laboral, distingint per categories i sexes.
1.5.1. Average number of employees during 2017	1.5.1. Nombre mig d'empleats durant el 2017
1.5.2. Number of employees on 31/12/2017	1.5.2. Nombre d'empleats a 31/12/2017
1.6. Entities of the group, multi-group and associate bodies	1.6. Entitats del grup, multigrup i associades
1.6.1. Group entities	1.6.1. Entitats del grup
1.6.2. Multi-group entities	1.6.2. Entitats multigrup
a) Entities that are consolidated with the City Council	a) Entitats que consoliden amb l'Ajuntament
b) Entities excluded from municipal consolidation	b) Entitats excloses de la consolidació municipal
1.6.3. Associated entities	1.6.3. Entitats associades
2. Indirect management of public services, agreements and other forms of collaboration	2. Gestió indirecta de serveis públics, convenis i altres formes de col·laboració
The powers and services provided by the City Council are as follows:	Les competències i serveis que presta l'Ajuntament són:
a) Mandatory services:	a) Serveis obligatoris:
The City Council provides the following mandatory services: public lighting, cemeteries, urban environment, waste collection, waste treatment, street cleaning, household supply of drinking water, sewers, access to city centres, road surfacing, public parks, public libraries, civil protection, assessing and providing information on situations of social need and immediate care for people in situations of social risk, preventing and extinguishing fires, public sports facilities and urban public passenger transport.	L'Ajuntament presta els següents serveis obligatoris: enllumenat públic, cementiri, medi ambient urbà, recollida de residus, tractament de residus, neteja viària, abastament domiciliari d'aigua potable, clavegueram, accés als nuclis de població, pavimentació de les vies públiques, parc públic, biblioteca pública, protecció civil, avaluació i informació de situacions de necessitat social i l'atenció immediata a persones en situació o risc d'exclusió social, prevenció i extinció d'incendis i instal·lacions esportives d'ús públic, i transport col·lectiu urbà de viatgers.
b) Voluntary services:	b) Serveis voluntaris:
The supplementary services provided by the City Council include the following: nursery schools, vehicle parking, promotion of culture and cultural facilities, work promotion services, etc.	Com a serveis complementaris, l'Ajuntament també presta, entre d'altres, els següents: escoles bressols, estacionament de vehicles, promoció de la cultura i equipaments culturals, serveis de foment del treball, etc.
Most of these services are provided directly by the City Council and others through its subsidiary organisations.	La majoria d'aquests serveis són prestats de manera directa per l'Ajuntament i altres a través de algun dels seus ens dependents.
As for indirect management of public services, the most important contracts are: • Household supply of drinking water.	Pel que fa a la gestió indirecta dels serveis públics, els contractes més significatius són:
• Waste water disposal and treatment.	• Abastament domiciliari d'aigua potable.
• Underground vehicle parking.	• Evacuació i tractament d'aigües residuals.
• Public passenger transport.	• Estacionament de vehicles en el subsòl.
The Barcelona Metropolitan Area (AMB), as the Local Entity, is responsible	• El transport públic de viatgers.
for supplying household water to the city of Barcelona, as set out in Spanish	El servei d'abastament d'aigua domiciliària de la ciutat de Barcelona és
Legislative Decree 3/2003 of 4 November. The AMB provides that service through a semi-public company called Aigües de Barcelona, Empresa Metropolitana de Gestió del Cicle Integral de l'Aigua SA, made up by Aigües de Barcelona (70%); Criteria (15%) and the AMB (15%). The company uses the municipally owned assets allocated to the service when it was incorporated. Barcelona's disposal and treatment of waste water falls under the jurisdiction of	competència de l'Àrea Metropolitana de Barcelona (AMB) com a Ens Local tal i com s'estableix en el Decret legislatiu 3/2003, del 4 de novembre. Aquesta dóna el servei a través d'una societat de capital mixt anomenada Aigües de Barcelona, empresa metropolitana de gestió del cicle integral de l'aigua SA, formada per la Societat General d'Aigües de Barcelona (70%); Criteria (15%) i l'AMB (15%). La societat utilitza els béns de propietat municipal afectes al servei en el moment de la constitució.
the Barcelona Metropolitan Area as the Local Entity and established as such under Legislative Decree 3/2003 of 4 November. The AMB provides that service through a semi-public company called Aigües de Barcelona, Empresa Metropolitana de Gestió del Cicle Integral de l'Aigua SA, made up by Aigües de Barcelona (70%); Criteria (15%) and the AMB (15%). The company uses the municipally owned assets allocated to the service when it was incorporated.	El servei d'evacuació i tractament d'aigües residuals de la ciutat de Barcelona es competència de l'Àrea Metropolitana de Barcelona com a Ens Local tal i com s'estableix en el Decret legislatiu 3/2003, del 4 de novembre. Aquesta dóna el servei a través d'una societat de capital mixt anomenada Aigües de Barcelona, empresa metropolitana de gestió del cicle integral de l'aigua SA, formada per la Societat General d'Aigües de Barcelona (70%); Criteria (15%) i l'AMB (15%). La societat utilitza els béns de propietat municipal afectes al servei en el moment de la constitució.
The vehicle parking service is managed directly for street-level parking and indirectly for underground parking. Underground parking spaces and, more specifically, those located in Barcelona's	El servei d'estacionament de vehicles es gestiona de forma directa pel que fa a aquells aparcaments en superfície, i de manera indirecta per aquells aparcaments situats en el subsòl.
city centre (central perimeter), are managed indirectly through a mixed- economy company in the form of a public limited company (SA) called Barcelona d'Aparcaments Municipals, SA (BAMSA), owned by Saba Car Park, SL (60%) and BSM (40%). The company was incorporated for a 25-year period and uses the municipally owned assets allocated to the service at the time of its incorporation. The public passenger transport service is managed by the Metropolitan Transport Authority (ATM), which was created as a voluntary inter-administrative consortium and set up in the 1997 financial year. The consortium is made up of the following authorities: the Generalitat [regional government] of Catalonia (51 %) and local authorities (49%), the latter consisting of Barcelona City Council, the Barcelona Metropolitan Area (AMB) and the Association of Municipalities for Mobility and	Pel que fa a la gestió indirecta dels aparcaments situats en el subsòl, i en concret els ubicats al centre de la ciutat de Barcelona (perímetre central), són gestionats de forma indirecta per mitjà d'una societat d'economia mixta amb la forma de societat anònima i el nom de Barcelona d'Aparcaments Municipals, SA (BAMSA) formada per Saba Car Park, SL (60%) i BSM (40%). La societat fou constituïda per un termini de 25 anys, i utilitza els béns de propietat municipal afectes al servei en el moment de la constitució.
Urban Transport (AMTU). The contributions made to this consortium by the City Council during the 2017 financial year under the ATM's four-year plan (2014-2017) came to €136.67 million.	El servei de transport públic de viatgers es gestiona mitjançant l'Autoritat del Transport Metropolità (ATM), creat com un consorci interadministratiu de caràcter voluntari, constituït en l'exercici 1997. Les administracions consorciades són la Generalitat de Catalunya (51 %) i administracions locals (49 %), que són l'Ajuntament de Barcelona, l'Àrea Metropolitana de Barcelona (AMB) i l'Associació de Municipis per la Mobilitat i el Transport Urbà (AMTU). Les aportacions efectuades per l'Ajuntament en l'exercici 2017 a aquest consorci en virtut del pla quadriennal 2014-2017 de l'ATM han estat de 136,67 milions d'euros.
3. Bases of presentation of the accounts	3. Bases de presentació dels comptes
3.1. A true and accurate picture	3.1. Imatge fidel
These annual accounts have been obtained from the Municipal Corporation's	
accounting records as of 31 December 2017 and are presented under current accounting provisions legally in force, for the purposes of showing a true and accurate picture of the equity and the financial situation on the date mentioned herein, of the income and expenditure, of the statement of changes in net equity, of the cash flow, of the results of the implementation of the budget, for the financial year ending on that date, which are expressed in euros. These annual accounts will be part of Barcelona City Council's General Accounts, which will be submitted for approval at the Full Municipal Council Meeting within	Els comptes anuals s'han obtingut dels registres comptables de la Corporació tancats a 31 de desembre de 2017, i es presenten d'acord amb les disposicions legals vigents en matèria comptable, amb l'objecte de mostrar la imatge fidel del patrimoni i de la situació financera a la data esmentada, del resultat econòmic-patrimonial, dels canvis en el patrimoni net, dels fluxos d'efectiu, i del resultat de l'execució del pressupost, corresponents a l'exercici anual acabat en la mateixa data, els quals s'expressen en euros.
the legal deadlines established. The budget settlement was approved by Mayoral Decree on 28 February 2018.	Aquests comptes anuals formaran part del Compte General de l'Ajuntament de Barcelona, el qual serà sotmès a l'aprovació del Plenari del Consell Municipal en els terminis legals establerts. La liquidació del pressupost ha estat aprovada per Decret d'alcaldia el 28 de febrer de 2018.
The City Council's accounting system is the one provided for under the Act on Local Tax Offices for local entities and their independent bodies. The annual	El règim de comptabilitat de l'Ajuntament és el previst en la Llei reguladora de les Hisendes Locals per a les entitats locals i els seus organismes autònoms.
accounts for the 2017 financial year were prepared in accordance with Order	Els comptes anuals de l'exercici 2017 han estat elaborats d'acord amb l'Ordre
HAP/1781/2013 of 20 September, approving the Guidelines of the Local Standard	HAP/1781/2013, de 20 de setembre, per la qual s'aprova la Instrucció del model
Accounting Model (henceforth the IMNCL), and with the provisions set out in	normal de comptabilitat local (endavant, la IMNCL), així com amb el que preveu
the General Public Accounting Plan adapted for Local Authorities (PGCPAL)	el Pla General de Comptabilitat Pública adaptat a l'Administració Local (PGCPAL)
accompanying the IMNCL.	que acompanya la IMNCL.
The following current legislation has also been taken into account:	Addicionalment s'ha considerat la següent legislació vigent:
• Act 7/1985 of 2 April, regulating local government.	• Llei 7/1985, de 2 d'abril, reguladora de les bases de règim local.
• Royal Decree Law 781/1986 of 18 April, approving the consolidated text of	• Reial decret llei 781/1986, de 18 d'abril, pel qual s'aprova el text refós de
current provisions on local government.	disposicions vigents en matèria de règim local.
• Legislative Decree 2/2003 of 28 April, approving the consolidated text of the Municipal and Local Government Act of Catalonia.	• Decret legislatiu 2/2003, de 28 d'abril, pel qual s'aprova el Text refós de la Llei municipal de règim local de Catalunya.
• Royal Legislative Decree 2/2004 of 5 March, approving the consolidated text of the regulatory Act on Local Tax Offices (Act 39/1988 of 28 December).	• Reial decret legislatiu 2/2004, de 5 de març, pel qual s'aprova el Text refós de la Llei reguladora de les hisendes locals (Llei 39/1988, de 28 de desembre).
• Royal Decree 500/1990 of 20 April, developing Chapter I of Title VI of Act 39/1998 of 28 December, regulating budgets in local tax offices.	• Reial decret 500/1990, de 20 de abril, pel qual es desenvolupa el capítol primer del títol sisè de la Llei 39/1998, de 28 de desembre, reguladora de les hisendes locals en matèria de pressupostos.
• Documents on accounting principles issued by the Commission on Public Account Principles and Standards, created by Ministerial Order by the Secretary of State for Treasury on 28 December 1990.	• Documents sobre principis comptables emesos per la Comissió de Principis i Normes Comptables Públiques, creada per Resolució de la Secretaria d'Estat d'Hisenda de 28 de desembre de 1990.
• Order of 27 April 2007 on the implementation of Decree 94/1995 of 21 February, as amended by ministerial decrees ECF/2901/2008, ECF/1769/2009, ECF/3210/2010, ECO/1406/2011, ECO/2829/2012 and ECO/2876/2014 on the	• Ordre de 27 d'abril de 2007, sobre desplegament del Decret 94/1995 de 21 de febrer, modificada per les resolucions ECF/2901/2008, ECF/1769/2009, ECF/3210/2010, ECO/1406/2011, ECO/2829/2012 i ECO/2876/2014 en matèria de tutela financera dels ens locals.
financial supervision of local entities. • Act 15/2010 of 5 July, on the amendment of Act 3/2004 of 29 December, establishing measures against arrears in commercial transactions.	• Llei 15/2010, de 5 de juliol, de modificació de la Llei 3/2004, de 29 de desembre, per la qual s'estableixen mesures de lluita contra la morositat a les operacions comercials.
• Framework Act 2/2012 of 27 April, on budget stability and financial sustainability, with amendments introduced by Framework Act 9/2013 of 20 December, on controlling commercial debt in the public sector.	• Llei orgànica 2/2012, de 27 d'abril, d'estabilitat pressupostària i sostenibilitat financera, amb les modificacions introduïdes per la Llei orgànica 9/2013, de 20 de desembre, de control del deute comercial en el sector públic.
• Framework Act 9/2013 of 20 December, on controlling commercial debt in the public sector.	• Llei Orgànica 9/2013, de 20 de desembre, de control del deute comercial en el sector públic.
• Act 27/2013 of 27 December, on the rationalisation and sustainability of local authorities.	• Llei 27/2013, de 27 de desembre, de racionalització i sostenibilitat de l'administració local.
Furthermore, the Barcelona Municipal Charter, which was approved by Act 1/2006 of 13 March, regulates, among other things, municipal powers, the organisation of the Municipal Government, the districts, the organisation of the municipal	Per altra part, la Carta Municipal de Barcelona, aprovada per Llei 1/2006, de 13 de març, regula, entre d'altres matèries, les competències municipals, l'organització del govern municipal, els districtes, l'organització municipal executiva i la
	participació ciutadana. L'aplicació dels principis i criteris comptables està presidida per la consideració de la importància en termes relatius que aquests i els seus efectes poden presentar. Per consegüent, és admissible la no aplicació estricta d'algun d'aquests, sempre que la importància relativa en termes quantitatius o qualitatius de la variació
executive and public participation.	constatada sigui escassament significativa i no alteri, per tant, la imatge fidel de
The accounting principles and criteria applied are heavily influenced by	la situació patrimonial i dels resultats. Les partides o els imports la importància
consideration of the importance they and their effects may have in relative terms.	relativa dels quals sigui escassament significativa poden aparèixer agrupats amb
As a result, they do not need to be strictly applied, provided that the relative	altres de similar naturalesa o funció.
quantitative or qualitative importance of the variation recorded is hardly significant and does not therefore affect the true and accurate picture of the net equity situation and the income and expenditure. Entries and amounts whose relative importance is scarcely significant may appear grouped together with others of a similar nature or function.	No existeixen raons excepcionals per les quals, per assolir els objectius anteriors,
There are no exceptional reasons, for the purposes of achieving the above goals,	no s'hagin aplicat disposicions legals en matèria comptable.
for current accounting provisions legally in force not to have been applied.	L'Ajuntament formula comptes anuals consolidats que integren els comptes
The City Council prepares consolidated annual accounts that include the accounts of the City Council, the group's entities (local independent bodies, publicly owned business entities and subsidiary trading companies), multi-group entities and	de l'Ajuntament, de les entitats del grup (organismes autònoms locals, entitats públiques empresarials i societats mercantils dependents), de les entitats
associated entities.	multigrup i entitats associades.
3.2. Comparison of the information	3.2. Comparació de la informació
The annual accounts for the financial years 2017 and 2016 were drawn up in accordance with the framework established under the IMNCL, and prepared under uniform valuation, grouping, classification and monetary-unit criteria. As a result, the information presented is homogeneous and comparable.	Els comptes anuals dels exercicis 2017 i 2016 s'han formulat d'acord amb la estructura establerta a la IMNCL, havent seguit en la seva elaboració l'aplicació de criteris uniformes de valoració, agrupació, classificació i unitats monetàries, de manera que la informació presentada és homogènia i comparable.
3.3. Reasons for and effects on the annual accounts of changes in accounting criteria and error corrections	3.3. Raons e incidència en els comptes anuals dels canvis en criteris de comptabilització i correcció d'errors
There were no changes to the accounting criteria in the previous financial year nor were any errors identified that had to be corrected.	No s'han produït canvis en els criteris comptables respecte a l'exercici anterior ni s'han identificat errors que haurien de ser corregits.
3.4. Information on changes in accounting estimates where these are	3.4. Informació sobre canvis en estimacions comptables quan siguin significatius
significant There were no significant changes to the accounting estimates.	No s'han produït canvis significatius en les estimacions comptables.
4. Recognition and valuation regulations	4. Normes de reconeixement i valoració
