en-cat	cat	en-sp	sp
Our responsibility is to express an opinion on whether the accompanying annual accounts of the Barcelona City Council give a true and fair view based on the work that we have carried out in accordance with the auditing standards of the public sector, as well as the results of the operations reflected in the economic-equity income statement and in the budget settlement, and of the resources obtained and applied during the year, and contain the information necessary for its interpretation and adequate understanding.	La nostra responsabilitat és emetre una opinió, basada en el treball realitzat, d'acord amb les Normes d'Auditoria del Sector Públic, sobre si els comptes anuals adjunts de l'Ajuntament expressen, en tots els seus aspectes significatius, la imatge fidel del seu patrimoni i de la seva situació financera, així com dels resultats de les seves operacions reflectides en el compte del resultat econòmic-patrimonial i en la liquidació del pressupost, i dels recursos obtinguts i aplicats durant l'exercici, i contenen la informació necessària per a la seva interpretació i comprensió adequada.	Our responsibility is to express an opinion on whether the accompanying annual accounts of the Barcelona City Council give a true and fair view based on the work that we have carried out in accordance with the auditing standards of the public sector, as well as the results of the operations reflected in the economic-equity income statement and in the budget settlement, and of the resources obtained and applied during the year, and contain the information necessary for its interpretation and adequate understanding.	Nuestra responsabilidad es emitir una opinión, basada en el trabajo realizado, de acuerdo con las Normas de Auditoria del Sector Publico, sobre si las cuentas anuales adjuntas del Ayuntamiento expresan, en todos sus aspectos significativos, la imagen fiel de su patrimonio y de la situación financiera, así como de los resultados de sus operaciones reflejadas en la cuenta de resultado económico-patrimonial y en la liquidación del presupuesto, y de los recursos obtenidos y aplicados durante el ejercicio, y contienen la información necesaria para su interpretación y comprensión adecuada.
1 This report is a translation of the Barcelona City Council public audit report un the annual accounts for the year ended on December 31st, 2017 which is issued in Catalan in May 30th, 2018. Any opinion must be referred to the abovementioned Catalan audit report version. Only the audit report issued in Catalan is authentic, and is accompanied by the annual accounts.	Atès el caràcter limitatiu del pressupost de despeses de l'entitat l'objectiu de l'auditoria inclou la verificació del compliment en els aspectes mes significatius de les normes pressupostàries especialment el compliment de les regles pressupostàries de limitació quantitativa, qualitativa i temporal i les relatives a modificacions pressupostàries.	1 This report is a translation of the Barcelona City Council public audit report un the annual accounts for the year ended on December 31st, 2017 which is issued in Catalan in May 30th, 2018. Any opinion must be referred to the abovementioned Catalan audit report version. Only the audit report issued in Catalan is authentic, and is accompanied by the annual accounts.	1 Este informe esta una traducción del informe de auditoría independiente del Ayuntamiento de Barcelona sobre las cuentas anuales del ejercicio anual terminado el 31 de diciembre de 2017 que se emitió en catalán el 30 de mayo de 2018. Cualquier opinión debe remitirse a la versión en catalán del informe citado. Únicamente el informe de auditoría emitido en catalán es auténtico y se acompaña de las cuentas anuales.
In view of the limiting nature of the entity's expenditure budget the objective of the audit includes verification of compliance in the most significant aspects of the budgetary rules in particular compliance with the quantitative, qualitative and temporal limits of budgetary rules and those related to budget modifications.		In view of the limiting nature of the entity's expenditure budget the objective of the audit includes verification of compliance in the most significant aspects of the budgetary rules in particular compliance with the quantitative, qualitative and temporal limits of budgetary rules and those related to budget modifications.	Atendiendo al carácter limitativo del presupuesto de gastos de la entidad el objetivo de la auditoria incluye la verificación del cumplimiento en los aspectos más significativos de las normas presupuestarias especialmente el cumplimiento de las reglas presupuestarias de limitación cuantitativa, cualitativa y temporal y las relativas a modificaciones presupuestarias.
Those standards require that we plan and perform the audit to obtain a reasonable assurance, but not absolute, about whether the annual accounts are free from material misstatement.	Aquestes normes exigeixen que planifiquem i executem l'auditoria per tal d'obtenir una seguretat raonable, tot i que no absoluta, que els comptes anuals estan lliures d'incorreccions materials.	Those standards require that we plan and perform the audit to obtain a reasonable assurance, but not absolute, about whether the annual accounts are free from material misstatement.	Estas normas exigen que planifiquemos y ejecutemos la auditoria con el fin de obtener una seguridad razonable, aunque no absoluta, que las cuentas anuales están libres de incorrección material.
An audit requires performing procedures to obtain audit evidence about the amounts and information in the annual accounts. The procedures selected depend on the auditor's judgment, including the assessment of the risks of material misstatement of the annual accounts. In making those risk assessments, the auditor considers internal control relevant to entity's preparation of annual accounts in order to design audit procedures that are appropriate in the circumstances, but not for the purpose of expressing an opinion on the effectiveness of the entity's internal control. An audit also includes evaluating the appropriateness of accounting policies used and the reasonableness of accounting estimates made by management, as well as evaluating the overall presentation of the annual accounts.	Una auditoria financera comporta l'aplicació de procediments per obtenir evidència adequada i suficient sobre els imports i la informació recollida en els comptes anuals. Els procediments seleccionats depenen del judici de l'auditor, inclosa la valoració dels riscos d'incorrecció material en els comptes anuals. En efectuar aquestes valoracions del risc, l'auditor té en compte el control intern rellevant per a la preparació i presentació raonable per part del gestor de comptes anuals, a fi de dissenyar els procediments d'auditoria que siguin adequats en funció de les circumstàncies, i no amb la finalitat d'expressar una opinió sobre l'eficàcia del control intern de l'entitat. Una auditoria financera també inclou l'avaluació de l'adequació dels criteris comptables i de la raonabilitat de les estimacions comptables realitzades pel gestor, així com l'avaluació de la presentació global dels comptes anuals.	An audit requires performing procedures to obtain audit evidence about the amounts and information in the annual accounts. The procedures selected depend on the auditor's judgment, including the assessment of the risks of material misstatement of the annual accounts. In making those risk assessments, the auditor considers internal control relevant to entity's preparation of annual accounts in order to design audit procedures that are appropriate in the circumstances, but not for the purpose of expressing an opinion on the effectiveness of the entity's internal control. An audit also includes evaluating the appropriateness of accounting policies used and the reasonableness of accounting estimates made by management, as well as evaluating the overall presentation of the annual accounts.	Una auditoría financiera conlleva la aplicación de procedimientos para obtener evidencia adecuada y suficiente sobre los importes y la información recogida en las cuentas anuales. Los procedimientos seleccionados dependen del juicio del auditor, incluida la valoración de los riegos de incorrección material en las cuentas anuales. Al efectuar dichas valoraciones del riesgo, el auditor tiene en cuenta el control interno relevante para la preparación y presentación razonable por parte del gestor de las cuentas anuales, con el fin de diseñar los procedimientos de auditoria que sean adecuados en función de las circunstancias, y no con la finalidad de expresar una opinión sobre la eficacia del control interno de la entidad. Una auditoría financiera también incluye la evaluación de la adecuación de los criterios contables y de la razonabilidad de las estimaciones contables realizadas por el gestor, así como la evaluación de la presentación global de las cuentas anuales.
We believe that the audit evidence we have obtained is sufficient and appropriate to provide a basis for our audit opinion.	Considerem que l'evidència d'auditoria que hem obtingut proporciona una base suficient i adequada per emetre la nostra opinió d'auditoria.	We believe that the audit evidence we have obtained is sufficient and appropriate to provide a basis for our audit opinion.	Consideramos que la evidencia de auditoria que hemos obtenido proporciona una base suficiente y adecuada para emitir nuestra opinión de auditoria.
III. Audit opinion	III.Opinió d'auditoria	III. Audit opinion	III. Opinión de auditoria
In our opinion, the accompanying annual accounts present fairly, in all material respects, of the equity and financial position of the Barcelona City Council at December 31, 2017 and the results of its operations, cash flows and budget settlement statement for the year then ended, in accordance with applicable regulatory framework for financial information and with the budgetary regulations applicable and, specifically, the conceptual framework of public accounting and the recognition and valuation rules contained therein.	Segons la nostra opinió, els comptes anuals adjunts expressen, en tots els aspectes significatius, la imatge fidel del patrimoni i de la situació financera de l'Ajuntament de Barcelona a 31 de desembre de 2017, així com del seu resultat econòmic - patrimonial, fluxos d'efectiu i de la liquidació del pressupost corresponents a l'exercici anual acabat en aquesta data, de conformitat amb el marc normatiu d'informació financera i amb la normativa pressupostària que resulta d'aplicació i, en particular, amb el marc conceptual de la comptabilitat pública i les normes de reconeixement i valoració contingudes en el mateix.	In our opinion, the accompanying annual accounts present fairly, in all material respects, of the equity and financial position of the Barcelona City Council at December 31, 2017 and the results of its operations, cash flows and budget settlement statement for the year then ended, in accordance with applicable regulatory framework for financial information and with the budgetary regulations applicable and, specifically, the conceptual framework of public accounting and the recognition and valuation rules contained therein.	Según nuestra opinión, las cuentas anuales adjuntas expresas, en todos los aspectos significativos, la imagen fiel del patrimonio y de la situación financiera del Ayuntamiento de Barcelona a 31 de diciembre de 2017, así como su resultado económico-patrimonial, flujos de efectivo y de la liquidación del presupuesto correspondientes al ejercicio anual terminado en dicha fecha, de conformidad con el marco normativo de información financiera y con la normativa presupuestaria que resulta de aplicación y, en particular, con el marco conceptual de la contabilidad pública y las normas de reconocimiento y valoración contenidas en el mismo.
ERNST & YOUNG, S.L.	ERNST & YOUNG, S.L,	ERNST & YOUNG, S.L.	ERNST & YOUNG, S.L.
Alejandro Martínez Gómez	Alejandro Martínez Gómez	Alejandro Martínez Gómez	Alejandro Martínez Gómez
May 30, 2018	Barcelona, 30 de maig de 2018	May 30, 2018	Barcelona, 30 de mayo de 2018
1 This report is a translation of the Barcelona City Council public audit report un the annual accounts for the year ended on December 31st, 2017 which is issued in Catalan in May 30th, 2018. Any opinion must be referred to the abovementioned Catalan audit report version. Only the audit report issued in Catalan is authentic, and is accompanied by the annual accounts.		1 This report is a translation of the Barcelona City Council public audit report un the annual accounts for the year ended on December 31st, 2017 which is issued in Catalan in May 30th, 2018. Any opinion must be referred to the abovementioned Catalan audit report version. Only the audit report issued in Catalan is authentic, and is accompanied by the annual accounts.	1 Este informe esta una traducción del informe de auditoría independiente del Ayuntamiento de Barcelona sobre las cuentas anuales del ejercicio anual terminado el 31 de diciembre de 2017 que se emitió en catalán el 30 de mayo de 2018. Cualquier opinión debe remitirse a la versión en catalán del informe citado. Únicamente el informe de auditoría emitido en catalán es auténtico y se acompaña de las cuentas anuales.
Balance sheet as of 31 December 2017 (amounts in euros)	Balanç a 31 de desembre de 2017 (imports en euros)	Balance sheet as of 31 December 2017 (amounts in euros)	Balance a 31 de diciembre de 2017 (importes en euros)
Balance sheet as of 31 December 2017 (amounts in euros)	Balanç a 31 de desembre de 2017 (imports en euros)	Balance sheet as of 31 December 2017 (amounts in euros)	Balance a 31 de diciembre de 2017 (importes en euros)
Income and expenditure account as of 31 December 2017 (amounts in euros)	Compte del resultat econòmic patrimonial a 31 de desembre de 2017 (imports en euros)	Income and expenditure account as of 31 December 2017 (amounts in euros)	Cuenta del resultado económico patrimonial a 31 de diciembre de 2017 (importes en euros)
Statement of changes in net equity (amounts in euros)	Estat de canvis en el patrimoni net (imports en euros)	Statement of changes in net equity (amounts in euros)	Estado de cambios en el patrimonio neto (importes en euros)
1. Total statement of changes in net equity	1. Estat total de canvis en el patrimoni net	1. Total statement of changes in net equity	1. Estado total de cambios en el patrimonio neto
2. Statement of recognised income and expenditure	2. Estat d'ingressos i despeses reconeguts	2. Statement of recognised income and expenditure	2. Estado de ingresos y gastos reconocidos
Cash-flow statement (amounts in euros)	Estat de fluxos d'efectiu (imports en euros)	Cash-flow statement (amounts in euros)	Estado de flujos de efectivo (importes en euros)
Budget implementation statement (amounts in euros)	Estat de liquidació del pressupost (imports en euros)	Budget implementation statement (amounts in euros)	Estado de liquidación del presupuesto (importes en euros)
1. Expenditure budget implementation	1. Liquidació del pressupost de despeses	1. Expenditure budget implementation	1. Liquidación del presupuesto de gastos
2. Income budget settlement	2. Liquidació del pressupost d'ingressos	2. Income budget settlement	2. Liquidación del presupuesto de ingresos
Budget implementation statement (amounts in euros)	Estat de liquidació del pressupost (imports en euros)	Budget implementation statement (amounts in euros)	Estado de liquidación del presupuesto (importes en euros)
3. Budgetary results for 2017	3. Resultat pressupostari	3. Budgetary results for 2017	3. Resultado presupuestario 2017
ANNUAL REPORT FOR THE 2017 FINANCIAL YEAR	MEMÒRIA DE L'EXERCICI 2017 1. Organització i activitat	ANNUAL REPORT FOR THE 2017 FINANCIAL YEAR 1. Organisation and activity	MEMORIA DEL EJERCICIO 2017 1. Organización y actividad
1. Organisation and activity	1.1. Població oficial i dades de caràcter socioeconòmic	
	Barcelona, amb una superfície de 101,35 km2, és la capital de Catalunya i la segona ciutat de l'Estat espanyol per població. La població oficial de la ciutat de Barcelona a 1 de gener de 2017 és de 1.620.809 habitants, segons dades publicades per	
	l'Institut Nacional d'Estadística, un 0,7% més que l'any anterior. A Barcelona hi	
1.1. Official population and socio-economic data	conviuen persones de 166 nacionalitats, sent la població estrangera recollida al	1.1. Official population and socio-economic data	1.1. Población oficial y datos de carácter socioeconómico
Barcelona, which covers an area of 101.35 km2, is the capital of Catalonia and the second largest city in Spain in population terms. The official number of city residents on 1 January 2017 was 1,620,809, according to data published by the National Institute of Statistics, representing an increase of 0.7% on the previous year. There are 166 nationalities in that total and the number of registered foreign residents on 1 January 2017 came to 288,675. Barcelona is part of the Barcelona Metropolitan Area, Barcelonés County Council and Barcelona Provincial Council.	padró a 1 de gener de 2017 de 288.675 persones. La ciutat de Barcelona forma part de l'Àrea Metropolitana de Barcelona, del Consell Comarcal del Barcelonès i de la Diputació de Barcelona.	Barcelona, which covers an area of 101.35 km2, is the capital of Catalonia and the second largest city in Spain in population terms. The official number of city residents on 1 January 2017 was 1,620,809, according to data published by the National Institute of Statistics, representing an increase of 0.7% on the previous year. There are 166 nationalities in that total and the number of registered foreign residents on 1 January 2017 came to 288,675. Barcelona is part of the Barcelona Metropolitan Area, Barcelonés County Council and Barcelona Provincial Council.	Barcelona, con una superficie de 101,35 km2, es la capital de Cataluña y la segunda ciudad de España por población. La población oficial de la ciudad de Barcelona a 1 de enero de 2017 es de 1.620.809 habitantes, según datos publicados por el Instituto Nacional de Estadística, un 0,7 % más que el año anterior. En Barcelona conviven personas de 166 nacionalidades, siendo la población extranjera recogida en el padrón a 1 de enero de 2017 de 288.675 personas. La ciudad de Barcelona forma parte del Área Metropolitana de Barcelona, del Consejo Comarcal del Barcelonés y de la Diputación de Barcelona. La economía de la ciudad es fundamentalmente terciaria. El peso de este sector, de acuerdo con las últimas publicaciones del PIB de Barcelona, representa el
The city's economy is essentially tertiary. According to the latest data published on Barcelona's GNP, that sector represents 89.6% of the gross added value (15 percentage points above the Catalan figures), to the detriment of industry (7.4%), construction (2.9%) and the primary sector (0.1%). As regards the sectoral distribution of actively employed people registered with Social Security, on 31 December 2017 the percentage of workers employed in each sector was 90% in social services; 6.9% in industry; 3% in construction and the remaining 0.1% in agriculture, livestock and fisheries.	L'economia de la ciutat és fonamentalment terciària. El pes d'aquest sector, d'acord amb les darreres dades publicades del PIB de Barcelona, representa el 89,6% del valor afegit brut (15 punts percentuals per sobre dels valors catalans), en detriment de la indústria (7,4%), la construcció (2,9%) i el sector primari (0,1%). Pel que fa a la distribució sectorial dels ocupats afiliats a la Seguretat Social, a 31 de desembre de 2017 el sector serveis ocupava el 90% dels treballadors, la indústria el 6,9%, la construcció el 3,0% i l'agricultura, ramaderia i pesca el 0,1% restant.	The city's economy is essentially tertiary. According to the latest data published on Barcelona's GNP, that sector represents 89.6% of the gross added value (15 percentage points above the Catalan figures), to the detriment of industry (7.4%), construction (2.9%) and the primary sector (0.1%). As regards the sectoral distribution of actively employed people registered with Social Security, on 31 December 2017 the percentage of workers employed in each sector was 90% in social services; 6.9% in industry; 3% in construction and the remaining 0.1% in agriculture, livestock and fisheries.	89,6 % del valor añadido bruto (15 puntos porcentuales por encima de los valores catalanes), en detrimento de la industria (7,4 %), la construcción (2,9 %) y el sector primario (0,1 %). Con respecto a la distribución sectorial de los empleados afiliados a la Seguridad Social, a 31 de diciembre de 2017, el sector servicios ocupaba al 90 % de los trabajadores; la industria, al 6,9 %; la construcción, al 3,0 %; y la agricultura, ganadería y pesca, al 0,1 % restante.
The following table shows the main economic activity indicators for Barcelona and its metropolitan area for 2017.	La taula següent mostra els principals indicadors de l'activitat econòmica de	The following table shows the main economic activity indicators for Barcelona and its metropolitan area for 2017.	La tabla siguiente muestra los principales indicadores de la actividad económica de Barcelona y su ámbito metropolitano referentes al año 2017.
1.2. Description of the main sources of revenue	Barcelona i el seu àmbit metropolità referents a l'any 2017.	1.2. Description of the main sources of revenue	1.2. Descripción de las principales fuentes de ingresos
The main sources of revenue for both Barcelona City Council and the other local	1.2. Descripció de les principals fonts d'ingressos	The main sources of revenue for both Barcelona City Council and the other local	Las principales fuentes de ingresos, tanto del Ayuntamiento de Barcelona como del resto de municipios, se encuentran reguladas por el Real decreto legislativo 2/2004, de 5 de marzo, por el que se aprueba el texto refundido de la Ley
authorities are regulated by Spanish Royal Legislative Decree 2/2004 of 5 March, approving the consolidated text of the Regulatory Act on Local Tax Offices (Royal Legislative Decree 2/2004 (LHRL). The details of Barcelona City Council's main	Les principals fonts d'ingressos, tant de l'Ajuntament de Barcelona com de la resta de municipis, es troben regulades pel Reial Decret Legislatiu 2/2004, de 5 de març, pel que s'aprova el text refós de la Llei reguladora de les Hisendes Locals (Reial	authorities are regulated by Spanish Royal Legislative Decree 2/2004 of 5 March, approving the consolidated text of the Regulatory Act on Local Tax Offices (Royal Legislative Decree 2/2004 (LHRL). The details of Barcelona City Council's main	reguladora de las haciendas locales (Real decreto legislativo 2/2004 LRHL).
day-to-day management income for 2017 were as follows:	Decret Legislatiu 2/2004 LRHL). Per l'any 2017, el detall del principals ingressos de gestió ordinària de l'Ajuntament de Barcelona ha estat el següent:	day-to-day management income for 2017 were as follows:	Para el año 2017, el detalle de los principales ingresos de gestión ordinaria del
		Ayuntamiento de Barcelona ha sido el siguiente:
1.3. City Council's Tax Treatment	1.3. Consideració fiscal de l'Ajuntament	1.3. City Council's Tax Treatment	1.3. Consideración fiscal del Ayuntamiento
a) Corporation Tax	a) Impost de Societats	a) Corporation Tax	a) Impuesto de Sociedades
Barcelona City is exempt from corporation tax and its capital furniture gains are not subject to deduction, under Act 27/2014, of 27 November, on Corporation Tax	En aplicació de la Llei 27/2014, de 27 de novembre, de l'Impost sobre Societats, l'Ajuntament de Barcelona està exempt de l'impost i els rendiments del seu capital mobiliari no estan subjectes a retenció.	Barcelona City is exempt from corporation tax and its capital furniture gains are not subject to deduction, under Act 27/2014, of 27 November, on Corporation Tax	En aplicación de la Ley 27/2014, de 27 de noviembre, del impuesto sobre sociedades, el Ayuntamiento de Barcelona está exento del impuesto, y los rendimientos de su capital mobiliario no están sujetos a retención.
b) Value Added Tax (VAT)	b) Impost sobre el Valor Afegit (IVA)	b) Value Added Tax (VAT)	b) Impuesto sobre el Valor Añadido (IVA)
For the purposes of VAT, the City Council carries out transactions that are either subject to this tax (business activities) or not (public activities). As regards the VAT deduction system, it has opted for the special pro rata basis.	L'Ajuntament realitza a efectes de l'IVA operacions que no es troben subjectes (activitats Públiques ) i operacions subjectes (activitats empresarials). Pel que fa al règim de deduccions de les quotes d'IVA suportades ha optat per la modalitat de prorrata especial.	For the purposes of VAT, the City Council carries out transactions that are either subject to this tax (business activities) or not (public activities). As regards the VAT deduction system, it has opted for the special pro rata basis.	El Ayuntamiento realiza, a efectos del IVA, operaciones que no se encuentran sujetas (actividades públicas) y operaciones sujetas (actividades empresariales). Con respecto al régimen de deducciones de las cuotas de IVA soportadas, ha optado por la modalidad de prorrata especial.
1.4. Basic organisational, political and administrative structure	1.4. Estructura organitzativa bàsica, en els seus nivells polític i	1.4. Basic organisational, political and administrative structure	1.4. Estructura organizativa básica, en sus niveles político y
Barcelona City Council's basic organisational, political and administrative structure is as follows:	administratiu L'estructura organitzativa bàsica de l'Ajuntament de Barcelona, en els seus nivells polític i administratiu és la següent:	Barcelona City Council's basic organisational, political and administrative structure is as follows:	administrativo La estructura organizativa básica del Ayuntamiento de Barcelona, en sus niveles
		político y administrativo, es la siguiente:
1.4.1. Political organisation	1.4.1. Organització política	1.4.1. Political organisation	1.4.1. Organización política
Municipal elections are held every four years, under a proportional representation system. As a result of the last elections, held on 24 May 2015, the current composition of the Municipal Council is as follows:	Les eleccions municipals se celebren cada quatre anys, d'acord amb un sistema de representació proporcional. Com a resultat de les últimes eleccions, celebrades el 24 de maig de 2015, la composició actual del Consell Municipal és la següent:	Municipal elections are held every four years, under a proportional representation system. As a result of the last elections, held on 24 May 2015, the current composition of the Municipal Council is as follows:	Las elecciones municipales se celebran cada cuatro años, de acuerdo con un sistema de representación proporcional. Como resultado de las últimas elecciones, celebradas el 24 de mayo de 2015, la composición actual del Consejo Municipal es la siguiente:
On 31 December 2017, the 11 Barcelona en Comú councillors formed the municipal government. The agreement with the Partit dels Socialistes de Catalunya -Candidatura de Progrés, which was signed in May 2017 and led to four Partit dels Socialistes de Catalunya - Candidatura de Progrés councillors joining the municipal government, was terminated in November 2017.	El govern municipal el composen, a 31 de desembre de 2017, els 11 regidors de Barcelona en Comú. L'acord de govern amb el Partit dels Socialistes de Catalunya - Candidatura de Progrés, signat el maig del 2016 i que va suposar a incorporació al govern municipal dels 4 regidors del Partit dels Socialistes de Catalunya -Candidatura de Progrés és va trencar el novembre de 2017.	On 31 December 2017, the 11 Barcelona en Comú councillors formed the municipal government. The agreement with the Partit dels Socialistes de Catalunya -Candidatura de Progrés, which was signed in May 2017 and led to four Partit dels Socialistes de Catalunya - Candidatura de Progrés councillors joining the municipal government, was terminated in November 2017.	El gobierno municipal lo componen, a 31 de desembre de 2017, los 11 concejales de Barcelona en Comú. El acuerdo de gobierno con el Partit dels Socialistes de Catalunya - Candidatura de Progrés, firmado en mayo del 2016 y que supuso la incorporación al gobierno municipal de los 4 concejales del Partit dels Socialistes de Catalunya - Candidatura de Progrés se rompió en noviembre de 2017.
The political area is made up of the various government, city and territorial bodies. The political structure is as follows:	L'àmbit polític el constitueixen els diferents òrgans de govern, de ciutat i territorials. L'estructura política és la següent:	The political area is made up of the various government, city and territorial bodies. The political structure is as follows:	El ámbito político lo constituyen los diferentes órganos de gobierno, de ciudad y territoriales. La estructura política es la siguiente:
1.4.2. Administrative organisation	1.4.2. Organització administrativa	1.4.2. Administrative organisation	1.4.2. Organización administrativa
	L'organització administrativa o executiva de l'Ajuntament de Barcelona, dirigida	
Barcelona City Council's administrative or executive organisation, which is run and coordinated by the municipal manager, is made up, on the one hand, of sectors and districts, which are divisions and bodies integrated into the City Council's single legal personality, run by managers appointed by the Mayor. On the other hand, we have local independent bodies, public business entities and trading companies, which have their own separate legal personalities but are functionally dependent on their sectors of activity.	i coordinada pel gerent municipal, la componen, d'una banda els sectors i districtes, que són divisions i òrgans integrats en la personalitat jurídica única de l'Ajuntament, dirigits per gerents nomenats per l'alcalde; i de l'altra organismes autònoms locals, entitats públiques empresarials i societats mercantils, que són òrgans dotats de personalitat jurídica diferenciada, però amb dependència funcional del seu sector d'activitat.	Barcelona City Council's administrative or executive organisation, which is run and coordinated by the municipal manager, is made up, on the one hand, of sectors and districts, which are divisions and bodies integrated into the City Council's single legal personality, run by managers appointed by the Mayor. On the other hand, we have local independent bodies, public business entities and trading companies, which have their own separate legal personalities but are functionally dependent on their sectors of activity.	La organización administrativa o ejecutiva del Ayuntamiento de Barcelona, dirigida y coordinada por el gerente municipal, la componen, por una parte, los sectores y distritos, que son divisiones y órganos integrados en la personalidad jurídica única del Ayuntamiento, dirigidos por gerentes nombrados por el alcalde; y, por otra, organismos autónomos locales, entidades públicas empresariales y sociedades mercantiles, que son órganos dotados de personalidad jurídica diferenciada, pero con dependencia funcional de su sector de actividad. Esta estructura gerencial se encarga de que los servicios prestados por el
